,marginal,mix
2017-01-01 00:00:00,0.899,0.4554105250078068
2017-01-01 00:15:00,0.899,0.47460927619795895
2017-01-01 00:30:00,0.899,0.4690361940085446
2017-01-01 00:45:00,0.899,0.4707097136643701
2017-01-01 01:00:00,0.899,0.46339036378077014
2017-01-01 01:15:00,0.899,0.45995245833683585
2017-01-01 01:30:00,0.899,0.4550316133983298
2017-01-01 01:45:00,0.899,0.4582550956575136
2017-01-01 02:00:00,0.899,0.45766239842267303
2017-01-01 02:15:00,0.899,0.45888356946383135
2017-01-01 02:30:00,0.899,0.4624087128403889
2017-01-01 02:45:00,0.899,0.46409932379262375
2017-01-01 03:00:00,0.899,0.460129523565553
2017-01-01 03:15:00,0.899,0.4592971245031019
2017-01-01 03:30:00,0.899,0.46018001912253403
2017-01-01 03:45:00,0.899,0.45388990610356517
2017-01-01 04:00:00,0.899,0.44967642691317894
2017-01-01 04:15:00,0.899,0.4437921658626356
2017-01-01 04:30:00,0.899,0.44407438761104817
2017-01-01 04:45:00,0.899,0.4334171671636261
2017-01-01 05:00:00,0.899,0.42268665572797104
2017-01-01 05:15:00,0.899,0.4104849022829771
2017-01-01 05:30:00,0.899,0.4022030609895156
2017-01-01 05:45:00,0.899,0.3960577816709095
2017-01-01 06:00:00,0.899,0.35116695865189845
2017-01-01 06:15:00,0.899,0.35594860252629285
2017-01-01 06:30:00,0.899,0.3512822941674636
2017-01-01 06:45:00,0.899,0.35252692678722897
2017-01-01 07:00:00,0.899,0.3559378908622141
2017-01-01 07:15:00,0.899,0.36141767086699317
2017-01-01 07:30:00,0.899,0.3756858684134182
2017-01-01 07:45:00,0.899,0.3805983004027473
2017-01-01 08:00:00,0.899,0.3706555722807338
2017-01-01 08:15:00,0.899,0.35420073130907737
2017-01-01 08:30:00,0.899,0.35181131942923016
2017-01-01 08:45:00,0.899,0.3518026233991851
2017-01-01 09:00:00,0.899,0.3450143401784838
2017-01-01 09:15:00,0.899,0.3415088472615119
2017-01-01 09:30:00,0.899,0.35050121288694003
2017-01-01 09:45:00,0.899,0.3517470361556139
2017-01-01 10:00:00,0.899,0.343657711309315
2017-01-01 10:15:00,0.899,0.3510133576619158
2017-01-01 10:30:00,0.899,0.39536397230349063
2017-01-01 10:45:00,0.899,0.36506490029657945
2017-01-01 11:00:00,0.899,0.3372062117316959
2017-01-01 11:15:00,0.899,0.32585395546638063
2017-01-01 11:30:00,0.899,0.3321011906570552
2017-01-01 11:45:00,0.899,0.32022887623555113
2017-01-01 12:00:00,0.899,0.32321439292245546
2017-01-01 12:15:00,0.899,0.3479613557182695
2017-01-01 12:30:00,0.899,0.42510016578237486
2017-01-01 12:45:00,0.899,0.340369808194214
2017-01-01 13:00:00,0.899,0.3395068695785895
2017-01-01 13:15:00,0.899,0.37057759710832666
2017-01-01 13:30:00,0.899,0.36518551091455
2017-01-01 13:45:00,0.899,0.3508820271674641
2017-01-01 14:00:00,0.899,0.39813640765197705
2017-01-01 14:15:00,0.899,0.4524030168027754
2017-01-01 14:30:00,0.899,0.5164031847762238
2017-01-01 14:45:00,0.899,0.5607594913268772
2017-01-01 15:00:00,0.899,0.6049010267493419
2017-01-01 15:15:00,0.899,0.6387302304826483
2017-01-01 15:30:00,0.899,0.660982754764804
2017-01-01 15:45:00,0.899,0.682444367069914
2017-01-01 16:00:00,0.899,0.6931360430038318
2017-01-01 16:15:00,0.899,0.701121017109479
2017-01-01 16:30:00,0.899,0.7046387043474449
2017-01-01 16:45:00,0.899,0.6980817045017734
2017-01-01 17:00:00,0.899,0.6812794256492016
